method,profile,complete,job_count,expected_job_count,map_observation_count,expected_map_observation_count,psnr,ssim,AO,ARM,DIFF,Displacement,metal,normal,rough,specular,paper_psnr,paper_ssim,delta_psnr,delta_ssim,encoder_params,decoder_params_min,decoder_params_max,total_params_min,total_params_max,compression_factor_mean,verification_status
LPE,full,True,54,54,234,234,38.85777882531644,0.9393301033056699,40.46342964502216,37.36533506084111,36.770420758742716,51.15380347952548,47.0734038246698,32.558259744524875,37.38858720247576,42.149256122103644,40.21,0.95,-1.3522211746835637,-0.01066989669433005,16777216,9993,10578,16787209,16787794,12.992025384318925,complete_protocol_assumption
NTC_N,full,True,54,54,234,234,39.23539327863469,0.9419036637514066,40.86915664562374,38.24932453077468,37.05483774660544,51.18832001901922,48.61703819926456,32.471353877226356,38.31185048275221,43.379793280870736,40.2,0.95,-0.964606721365314,-0.008096336248593405,17825792,14089,14674,17839881,17840466,12.225422314792414,complete_protocol_assumption
BI-Grid,full,True,54,54,234,234,40.548937321549346,0.9500819999947507,42.09941043146448,39.720231755863786,38.23389634899346,53.19665206629081,49.205219507492565,33.48713351671068,39.410482507589556,44.89601315607116,41.25,0.95,-0.7010626784506542,8.199999475078101e-05,17825792,10057,10642,17835849,17836434,12.228185965677257,complete_protocol_assumption
Grid-PEPS4F,full,True,54,54,234,234,40.332190515846754,0.9434299181159745,41.77257231142506,38.59412922108522,38.305220192436394,53.10098431728063,50.80391963569306,33.183947624768535,38.88897920103685,46.21477020877146,41.23,0.95,-0.8978094841532425,-0.006570081884025414,17825792,18761,19346,17844553,17845138,12.222221551128872,complete_protocol_assumption
Grid-PinkPEPS4F,full,True,54,54,234,234,40.602890252172685,0.9467443380600367,42.08471777331087,38.977069353689366,38.637702759548425,53.3171291873529,50.08384670821422,33.35390479009844,39.40940251463184,46.585117184796914,41.44,0.95,-0.8371097478273128,-0.0032556619399632947,17825792,11977,12562,17837769,17838354,12.226869785631175,complete_protocol_assumption
NTC_PEPS,full,True,54,54,234,234,40.38733189906331,0.9425880402071863,41.925917414748575,39.19962713491351,38.48045571913495,52.028179968022044,51.27296441489949,33.126895413555104,39.50229203172609,46.89945595597837,41.79,0.95,-1.4026681009366868,-0.007411959792813616,17825792,48905,49490,17874697,17875282,12.201610272510855,complete_protocol_assumption
NTC_PinkPEPS,full,True,54,54,234,234,40.12469508909065,0.9418648552690816,41.837745224664346,39.03123340840712,38.434951330876885,51.67810088998053,49.862985391161175,32.7778332336519,39.22375279524388,46.14982875162545,41.89,0.95,-1.7653049109093502,-0.008135144730918364,17825792,22153,22738,17847945,17848530,12.219898758949766,complete_protocol_assumption
Grid-PEPS4F-25,full,True,54,54,234,234,39.114894771701046,0.9299920861028198,40.5064051375612,37.65568075755756,36.81097750396286,52.421656259016,49.709803462888054,32.11838112716157,37.410050456515656,43.00859065730495,39.86,0.93,-0.7451052282989536,-7.913897180245044e-06,13631488,16457,17042,13647945,13648530,15.980349718225488,complete_protocol_assumption
Grid-PinkPEPS4F-25,full,True,54,54,234,234,39.3607371144737,0.9336178022572118,40.803117268556406,37.985830541604784,37.15006687160332,52.66094752923912,48.693331968584566,32.23255419789426,37.76395313677387,43.660332859744486,40.03,0.94,-0.669262885526301,-0.006382197742788143,13631488,11209,11794,13642697,13643282,15.98649681659529,complete_protocol_assumption
NTC_PEPS-25,full,True,54,54,234,234,38.98753521692105,0.929206733010773,40.31874659342976,37.52694847952969,36.81112722749581,51.272293634654226,50.68530682534048,32.02239916835098,38.388005507777294,43.459929777718564,40.59,0.94,-1.6024647830789505,-0.010793266989227002,13369344,39113,39698,13408457,13409042,16.265767715414476,complete_protocol_assumption
NTC_PinkPEPS-25,full,True,54,54,234,234,38.80534304033119,0.9284340115184457,40.45164979625387,37.70886522706887,36.85039022984973,50.91166686274493,48.8574228105143,31.70755024999167,37.66759212009642,43.202247513791164,40.56,0.94,-1.7546569596688144,-0.011565988481554212,13369344,18889,19474,13388233,13388818,16.290337902720022,complete_protocol_assumption
